,count,mean,std,min,25%,50%,75%,max
Age,100000.0,110.6497,686.2447166048134,-500.0,24.0,33.0,42.0,8698.0
Annual_Income,100000.0,176415.70129814997,1429618.0514141545,7005.93,19457.5,37578.61,72790.92,24198062.0
Num_of_Loan,100000.0,3.00996,62.647879360488204,-100.0,1.0,3.0,5.0,1496.0
Num_of_Delayed_Payment,92998.0,30.923342437471774,226.03189164449992,-3.0,9.0,14.0,18.0,4397.0
Changed_Credit_Limit,97909.0,10.389025115157953,6.789496202377758,-6.49,5.32,9.4,14.87,36.97
Outstanding_Debt,100000.0,1426.220376,1155.1290257464575,0.23,566.0725,1166.155,1945.9625,4998.07
Amount_invested_monthly,95521.0,637.4129984078688,2043.319327467018,0.0,74.53400154390508,135.92568154608836,265.7317330059456,10000.0
Monthly_Balance,98800.0,-3.0364372469635625e+22,3.181295008384109e+24,-3.333333333333333e+26,270.0922090435522,336.71918978926107,470.2201862745742,1602.0405189622518
