rank,scaler,encoder,model,params,macro_f1,macro_f1_std,macro_recall,accuracy,fit_seconds
20,minmax,onehot,RandomForest,"n_estimators=400, max_depth=None",0.6912069831974462,0.00483305501748695,0.6907756566704449,0.7153740066062634,1.915628433227539
21,robust,onehot,RandomForest,"n_estimators=200, max_depth=15",0.6912024118839835,0.005755175267434464,0.7188802194682974,0.7046243656902226,1.0993072986602783
22,standard,target,RandomForest,"n_estimators=200, max_depth=None",0.6911677688022242,0.0027612266951923654,0.6968408688402826,0.7121243659246271,1.189305305480957
23,minmax,target,RandomForest,"n_estimators=200, max_depth=None",0.691091870031789,0.006652097772204251,0.6971396728148416,0.7119986783347505,1.1620357036590576
24,minmax,onehot,RandomForest,"n_estimators=200, max_depth=None",0.6910407986705694,0.003904334199396657,0.6899322105260385,0.7154992253875242,1.0506014823913574
25,standard,target,RandomForest,"n_estimators=200, max_depth=15",0.690916452179171,0.0032299034724617135,0.7187794180875846,0.70437449069804,1.200190782546997
26,robust,target,RandomForest,"n_estimators=200, max_depth=15",0.6907993156693273,0.004338934967397192,0.7190866698913297,0.7039993969245967,1.0967400074005127
27,robust,target,RandomForest,"n_estimators=400, max_depth=15",0.6905787640886413,0.0030364683102374456,0.718958172497875,0.7037493812898293,1.9555792808532715
28,robust,target,RandomForest,"n_estimators=200, max_depth=None",0.6899448886181975,0.005710129882296279,0.6960229181572973,0.7111239283386652,1.1196339130401611
29,robust,onehot,RandomForest,"n_estimators=400, max_depth=None",0.6885384290677813,0.004840407575999145,0.6879838307206411,0.712749006524222,2.039795398712158
30,minmax,target,RandomForest,"n_estimators=200, max_depth=15",0.6875461774632723,0.0055171948359023035,0.7160615353337589,0.7004990373952693,1.180018424987793
31,robust,ordinal,RandomForest,"n_estimators=200, max_depth=None",0.6858790834844886,0.0060821259517164425,0.6790506929577939,0.7133741628132942,1.079836130142212
32,minmax,ordinal,RandomForest,"n_estimators=200, max_depth=None",0.6839693965477677,0.006956565970483762,0.6771221016139619,0.7118740690046903,1.0368869304656982
33,standard,ordinal,RandomForest,"n_estimators=200, max_depth=None",0.6839264093439855,0.008345209496026917,0.6774444154382557,0.7113738502117092,1.0638396739959717
34,robust,ordinal,RandomForest,"n_estimators=400, max_depth=None",0.6834101949631778,0.005184966274984998,0.6767420742189286,0.7104993815007932,1.9374747276306152
35,standard,ordinal,RandomForest,"n_estimators=400, max_depth=None",0.683273701401831,0.006174960440572608,0.6762126185958324,0.7108741471082056,2.085238456726074
36,minmax,ordinal,RandomForest,"n_estimators=400, max_depth=None",0.6830332251267809,0.007186411617340525,0.6766430425795482,0.7104989126921776,1.9001705646514893
37,standard,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=5",0.6817622541164878,0.0031185262553438593,0.6801036026731122,0.7057498345339991,35.51105785369873
38,minmax,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=5",0.6814068287780753,0.001601349580947645,0.6804664966015643,0.7053749282840021,35.268697023391724
39,robust,ordinal,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=5",0.6794288392629194,0.0040174732502144045,0.6783608979051121,0.7028754751492522,36.564964294433594
40,robust,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=5",0.679295208705347,0.006183560608182678,0.677821006877196,0.7028747250554671,37.84772539138794
41,standard,target,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=5",0.6788781763481867,0.007161421627873815,0.6782712137542318,0.702499162473408,42.42463660240173
42,minmax,target,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=5",0.6788741630698588,0.0056172314227313554,0.6777267456954451,0.7023743656199014,40.918720960617065
43,robust,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=3",0.6785357245071094,0.006210063081527075,0.681282804575957,0.7006253813172078,25.10589361190796
44,robust,target,GradientBoosting,"n_estimators=150, learning_rate=0.05, max_depth=5",0.6781079430424741,0.007120321274063045,0.6777527736424599,0.701874193707782,40.6195023059845
45,minmax,onehot,GradientBoosting,"n_estimators=150, learning_rate=0.1, max_depth=5",0.677693007574013,0.0018577179342927012,0.6737191952066187,0.7026249438250076,38.68957757949829
