scaler,encoder,macro_f1,macro_f1_std,accuracy
standard,onehot,0.6099196367793778,0.005340797794363013,0.6294010105541917
standard,ordinal,0.6006052598032662,0.007214304892380497,0.6190002095619292
standard,target,0.5984458575453967,0.004952039833647869,0.6169992892177867
minmax,onehot,0.6080246165246962,0.00308969010879182,0.6276005303141052
minmax,ordinal,0.6014679431370409,0.0075028660107153144,0.6198005296899805
minmax,target,0.6010378808660525,0.006909885523504154,0.6193992894098251
robust,onehot,0.6096190725486271,0.0048176059881663525,0.6290008504901662
robust,ordinal,0.6002389020369788,0.007694782932306684,0.6188001295299164
robust,target,0.5983385452890556,0.004892112667532729,0.6169992892177867
