model,macro_f1_mean,macro_f1_std,macro_recall_mean,accuracy_mean
RandomForest,0.7696733203287403,0.004103682580111877,0.800068178758878,0.77944
DecisionTree,0.7179199669524954,0.0025346759674689653,0.7583852891700463,0.7239099999999999
GradientBoosting,0.6948026646093933,0.0031257045151518773,0.7038433299196221,0.71424
LogisticRegression,0.6567456675151832,0.0033750140608332624,0.7031648445684845,0.66471
