outlier_mode,model,macro_f1,macro_f1_std,macro_recall,accuracy
none,DecisionTree,0.5946057191686719,0.003214126905599969,0.5996157007090215,0.6222018501461772
domain,DecisionTree,0.5922448166647797,0.014115300422386847,0.6020455290056151,0.6162037700503117
domain_percentile,DecisionTree,0.5867849628912665,0.016824426467580644,0.5943310850513814,0.612199888953782
