strategy,model,macro_f1,macro_f1_std,macro_recall,accuracy
none,DecisionTree,0.7088695437823154,0.0044075170463155145,0.7146119042478751,0.72705
none,RandomForest,0.7919949431739298,0.004633155623660942,0.7993752926969256,0.80174
class_weight,DecisionTree,0.7179199669524954,0.0025346759674689653,0.7583852891700463,0.7239099999999999
class_weight,RandomForest,0.7696733203287403,0.004103682580111877,0.800068178758878,0.77944
smote,DecisionTree,0.6989189074932531,0.005964303589376185,0.7247536475230412,0.70883
smote,RandomForest,0.7417122449965595,0.002893904457941164,0.7764536569776441,0.75224
